               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022207,            0.016013,           0.0030751,             0.92077,             0.98592,             0.98933,             0.78465,            0.016777,            0.010312,           0.0020433,            0.006535,            0.006535,            0.006535
                  37,            0.021867,            0.016185,           0.0026245,             0.93221,             0.98869,             0.98946,             0.78056,            0.014907,           0.0099007,           0.0020416,            0.006436,            0.006436,            0.006436
                  38,            0.021549,             0.01565,           0.0024993,             0.93493,             0.99847,             0.99121,             0.81002,            0.016865,            0.010625,           0.0019537,            0.006337,            0.006337,            0.006337
                  39,            0.021134,            0.016257,            0.002846,              0.9356,             0.99934,             0.99093,             0.83684,            0.016756,           0.0099785,           0.0018578,            0.006238,            0.006238,            0.006238
                  40,            0.021235,            0.016648,           0.0027671,             0.89636,             0.99868,             0.98388,             0.82669,            0.013578,           0.0098146,           0.0018214,            0.006139,            0.006139,            0.006139
                  41,            0.021511,            0.016369,           0.0028272,             0.86351,                   1,             0.96515,              0.8391,            0.016043,           0.0099396,           0.0018101,             0.00604,             0.00604,             0.00604
                  42,            0.020908,            0.015309,           0.0025649,             0.87723,             0.99868,             0.96457,             0.82106,            0.014145,           0.0096057,           0.0017632,            0.005941,            0.005941,            0.005941
                  43,            0.020653,            0.015926,           0.0024645,             0.89147,             0.99934,             0.97059,             0.80701,            0.013883,           0.0097124,            0.001635,            0.005842,            0.005842,            0.005842
                  44,            0.020445,            0.015843,           0.0022378,             0.89421,             0.99934,             0.97068,             0.81698,            0.016325,            0.009991,           0.0016453,            0.005743,            0.005743,            0.005743
                  45,            0.020003,            0.016049,           0.0023028,             0.90964,             0.99934,             0.97729,             0.81165,            0.013816,           0.0095779,           0.0016655,            0.005644,            0.005644,            0.005644
                  46,            0.018905,              0.0147,           0.0023349,              0.9481,             0.98474,             0.99374,             0.84543,            0.014986,           0.0093163,           0.0015309,            0.005545,            0.005545,            0.005545
                  47,            0.019346,            0.016095,            0.002199,             0.89658,             0.99087,             0.98638,              0.8442,            0.013481,           0.0093822,           0.0014639,            0.005446,            0.005446,            0.005446
                  48,            0.018888,            0.015575,           0.0019827,             0.89703,             0.99413,             0.97705,             0.82965,             0.01506,           0.0094817,           0.0015068,            0.005347,            0.005347,            0.005347
                  49,            0.018487,            0.015623,           0.0019879,             0.90643,                   1,             0.98517,             0.85216,             0.01372,           0.0092559,           0.0013985,            0.005248,            0.005248,            0.005248
                  50,            0.018504,            0.015011,           0.0020547,             0.94853,             0.99934,             0.99147,             0.84557,            0.012862,           0.0092644,           0.0014281,            0.005149,            0.005149,            0.005149
                  51,            0.018502,            0.014946,           0.0023808,             0.89078,             0.99534,             0.97633,             0.84212,            0.013175,           0.0092443,           0.0013763,             0.00505,             0.00505,             0.00505
                  52,            0.018393,            0.014032,           0.0019207,             0.87704,             0.98273,             0.96851,             0.83889,            0.013065,           0.0093596,           0.0013814,            0.004951,            0.004951,            0.004951
                  53,            0.017989,            0.014332,           0.0019362,             0.91181,             0.99934,             0.97732,             0.83616,            0.014428,           0.0094604,            0.001337,            0.004852,            0.004852,            0.004852
                  54,            0.017474,            0.015073,           0.0018909,             0.91597,             0.99905,             0.98492,             0.85908,            0.012893,           0.0091603,           0.0012754,            0.004753,            0.004753,            0.004753
                  55,            0.017928,            0.014114,           0.0019464,             0.89513,             0.99971,             0.97694,             0.79565,            0.014694,           0.0097286,           0.0012878,            0.004654,            0.004654,            0.004654
                  56,            0.018553,            0.015318,           0.0019758,             0.89132,             0.99982,             0.97724,             0.82854,             0.01346,           0.0092527,           0.0012485,            0.004555,            0.004555,            0.004555
                  57,            0.017872,            0.015548,           0.0019426,             0.93239,             0.98543,             0.99177,              0.8411,            0.012614,           0.0093357,           0.0012104,            0.004456,            0.004456,            0.004456
                  58,            0.017623,            0.014755,           0.0017837,             0.93507,             0.99934,             0.99198,             0.86599,            0.012237,           0.0091407,           0.0012178,            0.004357,            0.004357,            0.004357
                  59,            0.016997,            0.014555,           0.0017602,             0.93534,             0.99427,             0.99172,              0.8802,            0.012351,           0.0093123,           0.0012399,            0.004258,            0.004258,            0.004258
                  60,            0.016721,            0.014425,           0.0017235,             0.90895,             0.99934,             0.97718,             0.86348,            0.012488,           0.0090214,           0.0011834,            0.004159,            0.004159,            0.004159
                  61,            0.016561,            0.015498,           0.0016086,             0.94505,             0.98998,             0.99133,             0.87327,            0.012414,           0.0090286,           0.0011306,             0.00406,             0.00406,             0.00406
                  62,            0.016273,            0.013615,           0.0016122,             0.90449,             0.99868,             0.97738,             0.85494,            0.011743,           0.0088426,           0.0011177,            0.003961,            0.003961,            0.003961
                  63,            0.016179,            0.014425,           0.0015494,             0.89928,             0.99868,             0.97807,               0.876,            0.011642,           0.0089037,           0.0010349,            0.003862,            0.003862,            0.003862
                  64,            0.016636,            0.013183,           0.0014882,             0.94477,             0.99107,             0.99219,             0.87243,            0.012858,           0.0089857,           0.0010131,            0.003763,            0.003763,            0.003763
                  65,             0.01617,            0.013546,           0.0015874,             0.95067,             0.99868,             0.99239,              0.8825,            0.011742,             0.00872,           0.0010249,            0.003664,            0.003664,            0.003664
