                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0126,                0.93422,                 1.5132,                0.63643,                0.82564,                 0.8278,                0.60241,                0.85931,                0.73335,                 1.4562,               0.006634,               0.006634,               0.006634
                     36,                 1.0232,                0.93714,                 1.5161,                0.88062,                0.69151,                0.79525,                0.59055,                0.79826,                0.73555,                 1.4244,               0.006535,               0.006535,               0.006535
                     37,                 1.0139,                0.95865,                 1.5095,                0.64289,                0.78074,                0.79751,                0.57793,                0.87837,                0.75083,                 1.4664,               0.006436,               0.006436,               0.006436
                     38,                0.98877,                0.91488,                 1.4807,                0.64746,                0.76018,                0.77379,                0.58935,                0.79517,                0.67709,                 1.3966,               0.006337,               0.006337,               0.006337
                     39,                0.97282,                 0.8678,                 1.4768,                0.77452,                0.74146,                0.77828,                0.59053,                0.81697,                0.73472,                 1.4211,               0.006238,               0.006238,               0.006238
                     40,                0.94882,                0.86229,                 1.4559,                0.69575,                0.80685,                0.82743,                0.62874,                 0.7872,                0.60946,                 1.3826,               0.006139,               0.006139,               0.006139
                     41,                 0.9779,                0.88735,                  1.489,                0.84475,                0.80023,                0.87087,                0.66394,                0.82258,                0.65565,                 1.4366,                0.00604,                0.00604,                0.00604
                     42,                0.93594,                0.87273,                 1.4494,                0.87895,                0.87671,                0.93625,                0.71597,                0.77391,                0.59501,                  1.346,               0.005941,               0.005941,               0.005941
                     43,                0.94281,                 0.8623,                 1.4494,                0.92095,                0.79539,                0.83892,                0.65948,                0.75116,                0.61053,                 1.3404,               0.005842,               0.005842,               0.005842
                     44,                0.91834,                0.83557,                 1.4203,                0.95409,                0.80844,                0.88561,                0.69657,                0.74138,                0.63932,                 1.3383,               0.005743,               0.005743,               0.005743
                     45,                0.92892,                0.83898,                 1.4317,                0.95749,                0.78524,                0.88339,                0.68231,                0.79335,                0.64089,                 1.3893,               0.005644,               0.005644,               0.005644
                     46,                 0.9013,                0.79481,                 1.3972,                0.92806,                0.81184,                0.87993,                0.70475,                0.74183,                0.60334,                 1.3229,               0.005545,               0.005545,               0.005545
                     47,                0.90536,                0.81615,                 1.4208,                  0.839,                0.81737,                0.89661,                0.73315,                0.69354,                0.53592,                 1.2952,               0.005446,               0.005446,               0.005446
                     48,                0.86169,                0.74866,                 1.3544,                0.89604,                 0.8533,                0.90208,                0.70702,                0.73152,                0.57002,                 1.3174,               0.005347,               0.005347,               0.005347
                     49,                0.87912,                0.77661,                 1.3938,                0.86183,                0.89103,                0.90031,                0.69426,                0.72129,                0.54228,                 1.3235,               0.005248,               0.005248,               0.005248
                     50,                0.86919,                0.77158,                 1.3789,                0.90601,                0.83863,                0.92143,                0.74138,                0.71795,                0.54494,                 1.2828,               0.005149,               0.005149,               0.005149
                     51,                0.85749,                0.74167,                 1.3667,                0.95328,                0.82312,                0.91371,                0.74522,                0.70163,                 0.5344,                 1.2819,                0.00505,                0.00505,                0.00505
                     52,                0.85889,                0.73851,                 1.3638,                0.85637,                0.86762,                0.88435,                0.70236,                0.71754,                0.58131,                 1.3033,               0.004951,               0.004951,               0.004951
                     53,                0.84833,                0.72694,                 1.3588,                0.81049,                0.82723,                0.85875,                0.64849,                0.82032,                0.61486,                 1.4255,               0.004852,               0.004852,               0.004852
                     54,                0.83307,                0.71601,                 1.3393,                 0.8923,                0.89018,                0.93299,                0.76129,                0.66367,                0.53874,                 1.2489,               0.004753,               0.004753,               0.004753
                     55,                0.82857,                0.70585,                 1.3313,                0.86121,                0.84209,                0.89871,                0.72681,                0.71652,                0.53557,                 1.3121,               0.004654,               0.004654,               0.004654
                     56,                0.83237,                 0.7222,                 1.3614,                0.76246,                0.87506,                0.88803,                0.73154,                0.66585,                0.50403,                  1.253,               0.004555,               0.004555,               0.004555
                     57,                0.82216,                0.69805,                 1.3387,                0.87412,                0.82625,                0.90187,                0.72618,                0.66804,                0.51849,                 1.2595,               0.004456,               0.004456,               0.004456
                     58,                0.80703,                0.65961,                 1.3045,                0.77523,                0.86844,                0.87129,                0.67706,                0.69378,                0.52918,                 1.2778,               0.004357,               0.004357,               0.004357
                     59,                0.83052,                0.70796,                  1.351,                 0.9413,                0.85731,                 0.9261,                0.76852,                0.66017,                0.48544,                 1.2343,               0.004258,               0.004258,               0.004258
                     60,                0.82591,                0.71758,                 1.3465,                0.91591,                0.84498,                0.92746,                0.76888,                0.65546,                0.48306,                 1.2311,               0.004159,               0.004159,               0.004159
                     61,                0.79825,                0.67839,                 1.3078,                 0.8818,                0.87731,                0.96056,                0.79268,                0.66741,                 0.4734,                 1.2308,                0.00406,                0.00406,                0.00406
                     62,                0.79054,                0.65768,                 1.2943,                0.90579,                0.91184,                 0.9438,                0.74399,                0.64332,                0.46891,                 1.2189,               0.003961,               0.003961,               0.003961
                     63,                0.80819,                0.69712,                 1.3237,                0.88709,                0.97463,                0.97312,                 0.7884,                0.65814,                0.48791,                  1.231,               0.003862,               0.003862,               0.003862
                     64,                0.79303,                  0.698,                 1.3045,                0.85323,                0.94225,                0.95284,                 0.7903,                 0.6258,                0.46502,                 1.2021,               0.003763,               0.003763,               0.003763
                     65,                0.78086,                0.67416,                 1.3014,                0.80423,                0.88442,                0.91507,                0.71897,                0.75627,                 0.5559,                 1.3276,               0.003664,               0.003664,               0.003664
