               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047701,             0.03825,           0.0093907,             0.85022,             0.64369,             0.67271,             0.40939,            0.032161,            0.020294,           0.0035533,            0.006436,            0.006436,            0.006436
                  38,            0.046055,            0.036404,           0.0097664,             0.83705,             0.64954,             0.78236,             0.41607,            0.032194,            0.020271,           0.0035555,            0.006337,            0.006337,            0.006337
                  39,            0.045666,            0.037536,           0.0096611,             0.88598,             0.62795,             0.71426,              0.4046,            0.035643,             0.01966,            0.003469,            0.006238,            0.006238,            0.006238
                  40,             0.04387,             0.03675,           0.0096491,             0.86905,             0.61664,             0.70633,             0.44639,            0.030903,            0.018954,           0.0039265,            0.006139,            0.006139,            0.006139
                  41,            0.045014,             0.03438,           0.0093561,             0.88833,             0.63621,             0.74336,             0.40864,            0.036307,            0.017958,           0.0031723,             0.00604,             0.00604,             0.00604
                  42,            0.044353,            0.035807,           0.0098982,               0.864,             0.62904,             0.69223,             0.41629,             0.03285,            0.019023,           0.0031954,            0.005941,            0.005941,            0.005941
                  43,            0.042657,            0.034618,           0.0082957,             0.92025,             0.66745,             0.75339,             0.47431,            0.031912,            0.018066,           0.0027915,            0.005842,            0.005842,            0.005842
                  44,            0.041924,            0.035771,           0.0093361,             0.91484,             0.64763,             0.86058,             0.53526,            0.028222,            0.018324,           0.0026741,            0.005743,            0.005743,            0.005743
                  45,            0.040907,            0.035113,           0.0097885,             0.89623,             0.68738,             0.74201,             0.49365,            0.029249,            0.017254,           0.0026141,            0.005644,            0.005644,            0.005644
                  46,             0.03907,            0.034405,           0.0070439,             0.86862,             0.64155,              0.8101,             0.51989,            0.028585,            0.016904,           0.0029709,            0.005545,            0.005545,            0.005545
                  47,            0.039963,            0.034035,           0.0092528,             0.93183,             0.64552,             0.85012,             0.47836,            0.029986,            0.018079,           0.0032392,            0.005446,            0.005446,            0.005446
                  48,            0.039202,            0.030363,           0.0080093,             0.90679,             0.68413,             0.81949,             0.55475,            0.027359,            0.017183,           0.0029828,            0.005347,            0.005347,            0.005347
                  49,             0.03804,            0.030548,           0.0071269,             0.90646,             0.64572,             0.89258,             0.58986,            0.030384,            0.016131,           0.0026542,            0.005248,            0.005248,            0.005248
                  50,            0.036777,            0.033301,           0.0072969,             0.92115,              0.6811,             0.79735,             0.51355,            0.027593,            0.016315,           0.0026161,            0.005149,            0.005149,            0.005149
                  51,            0.034568,            0.032741,           0.0067888,             0.92848,             0.67898,             0.78799,             0.52996,            0.026608,            0.015303,           0.0022508,             0.00505,             0.00505,             0.00505
                  52,             0.03625,            0.031454,            0.007793,              0.9348,             0.67086,             0.86004,             0.58434,            0.022924,            0.015616,           0.0022557,            0.004951,            0.004951,            0.004951
                  53,            0.035921,            0.031579,           0.0063861,             0.92858,             0.65968,             0.72862,             0.47856,            0.026051,            0.016823,           0.0023389,            0.004852,            0.004852,            0.004852
                  54,            0.035261,             0.03152,           0.0066259,             0.93584,             0.68867,             0.83682,             0.57683,            0.023598,            0.015987,           0.0023963,            0.004753,            0.004753,            0.004753
                  55,            0.034523,            0.030215,           0.0071039,             0.91498,             0.67504,             0.81076,             0.56442,            0.026528,            0.015618,           0.0023117,            0.004654,            0.004654,            0.004654
                  56,             0.03448,            0.029535,           0.0065241,             0.93737,             0.67433,             0.82695,             0.58171,            0.023182,            0.015427,           0.0027059,            0.004555,            0.004555,            0.004555
                  57,            0.032806,            0.030458,           0.0068038,             0.93349,             0.68352,             0.86688,              0.5755,             0.02479,            0.015428,           0.0021001,            0.004456,            0.004456,            0.004456
                  58,             0.03332,            0.029513,           0.0070421,             0.95706,             0.69741,             0.84992,             0.58446,            0.024762,            0.015243,           0.0018137,            0.004357,            0.004357,            0.004357
                  59,            0.032831,            0.028926,            0.007133,             0.95376,             0.68219,             0.87434,             0.60839,            0.021292,            0.014739,           0.0023367,            0.004258,            0.004258,            0.004258
                  60,              0.0319,              0.0276,            0.005651,             0.93883,             0.68164,             0.87237,             0.60746,            0.022528,            0.014375,           0.0020031,            0.004159,            0.004159,            0.004159
                  61,            0.032167,            0.029588,            0.005904,             0.92528,             0.68936,             0.86102,             0.62911,            0.019615,            0.014448,           0.0018994,             0.00406,             0.00406,             0.00406
                  62,            0.031151,            0.028154,           0.0061739,             0.94251,             0.67453,             0.85818,             0.62883,            0.018538,            0.014125,            0.001781,            0.003961,            0.003961,            0.003961
                  63,            0.030162,            0.029191,           0.0053767,             0.93838,             0.71165,             0.86943,             0.63343,            0.020546,            0.013979,           0.0018275,            0.003862,            0.003862,            0.003862
                  64,            0.031201,            0.027174,           0.0068501,             0.94261,             0.69786,             0.85928,             0.59317,            0.021673,             0.01446,           0.0022305,            0.003763,            0.003763,            0.003763
                  65,            0.029975,            0.027507,           0.0060333,             0.95379,             0.69778,             0.86662,             0.63733,            0.021304,            0.014143,           0.0019293,            0.003664,            0.003664,            0.003664
                  66,            0.029783,             0.02691,            0.005816,              0.9413,             0.64486,             0.86036,             0.65381,            0.019886,            0.013905,           0.0023541,            0.003565,            0.003565,            0.003565
                  67,            0.030157,            0.024943,           0.0061336,             0.94609,               0.697,             0.87866,             0.63173,            0.020314,            0.013793,           0.0019603,            0.003466,            0.003466,            0.003466
                  68,            0.030169,            0.026416,           0.0059471,             0.96896,             0.68068,             0.88227,             0.63551,             0.01998,            0.013538,           0.0017436,            0.003367,            0.003367,            0.003367
                  69,            0.029406,            0.027577,           0.0057038,             0.94928,             0.69511,             0.88435,             0.64065,            0.018398,            0.014003,           0.0015574,            0.003268,            0.003268,            0.003268
                  70,            0.028534,            0.026025,           0.0050917,             0.95708,             0.70372,             0.89102,             0.65661,            0.018248,            0.013482,           0.0014188,            0.003169,            0.003169,            0.003169
                  71,            0.027827,            0.027333,           0.0051273,             0.96226,             0.70186,             0.90904,             0.67357,            0.017033,            0.012937,           0.0015321,             0.00307,             0.00307,             0.00307
                  72,            0.027444,            0.025881,            0.005684,             0.95837,             0.69911,             0.85802,             0.65299,            0.017613,            0.013012,           0.0015392,            0.002971,            0.002971,            0.002971
                  73,            0.028029,            0.025336,           0.0053178,              0.9421,             0.68819,             0.86758,              0.6636,            0.018161,            0.012872,           0.0015583,            0.002872,            0.002872,            0.002872
                  74,            0.027122,            0.024523,           0.0049774,             0.97946,             0.69075,             0.84723,             0.64916,            0.017878,             0.01266,           0.0014499,            0.002773,            0.002773,            0.002773
                  75,            0.026871,            0.024578,           0.0050473,             0.96566,             0.70968,             0.86094,             0.66861,            0.016399,            0.012434,           0.0015529,            0.002674,            0.002674,            0.002674
                  76,            0.026876,            0.025147,           0.0056726,              0.9555,             0.69948,             0.92949,             0.68795,            0.018936,            0.012918,           0.0014553,            0.002575,            0.002575,            0.002575
                  77,            0.026317,            0.024594,           0.0047673,             0.96443,              0.6966,               0.911,             0.67274,            0.017384,            0.012998,           0.0014793,            0.002476,            0.002476,            0.002476
                  78,            0.026416,            0.024354,           0.0053158,             0.95905,             0.70512,             0.86478,             0.67159,            0.016462,            0.012556,           0.0014911,            0.002377,            0.002377,            0.002377
                  79,            0.026464,            0.024199,           0.0050032,             0.96171,             0.70447,             0.83676,             0.64977,             0.01731,            0.012512,           0.0016463,            0.002278,            0.002278,            0.002278
                  80,            0.025456,            0.026254,           0.0049329,              0.9644,             0.69751,             0.86598,              0.6591,            0.016523,            0.012647,           0.0016177,            0.002179,            0.002179,            0.002179
                  81,            0.025115,            0.023784,           0.0047716,             0.97194,             0.69996,             0.89619,             0.68906,            0.016111,            0.012365,           0.0013488,             0.00208,             0.00208,             0.00208
                  82,            0.024944,            0.025002,           0.0049213,             0.96266,             0.70706,             0.98237,             0.77821,            0.015926,            0.012393,            0.001327,            0.001981,            0.001981,            0.001981
                  83,            0.025046,            0.024409,           0.0041222,             0.78518,             0.78506,             0.95207,             0.74231,            0.015939,            0.012417,           0.0012885,            0.001882,            0.001882,            0.001882
                  84,            0.024611,            0.022892,           0.0039756,             0.72428,             0.85512,             0.93671,             0.73388,             0.01565,            0.012212,           0.0012299,            0.001783,            0.001783,            0.001783
                  85,            0.023557,             0.02529,           0.0040688,             0.95504,             0.69685,             0.93536,             0.71857,            0.015194,            0.012196,            0.001223,            0.001684,            0.001684,            0.001684
                  86,            0.024258,            0.024426,           0.0044753,             0.97322,             0.68727,              0.9313,             0.74388,            0.015687,            0.012123,           0.0012566,            0.001585,            0.001585,            0.001585
                  87,            0.024129,            0.023324,           0.0045857,             0.97769,             0.69146,             0.92852,             0.74603,            0.015213,            0.012217,           0.0012345,            0.001486,            0.001486,            0.001486
                  88,            0.023673,            0.022637,           0.0043537,             0.97194,             0.70729,             0.94795,             0.73806,            0.015417,            0.012118,           0.0012028,            0.001387,            0.001387,            0.001387
                  89,            0.022852,            0.023869,           0.0044357,             0.81919,             0.90511,             0.98857,              0.7985,            0.015381,            0.011986,           0.0013885,            0.001288,            0.001288,            0.001288
                  90,            0.022099,            0.022235,           0.0038214,             0.72312,             0.97568,             0.99087,             0.78941,            0.014784,            0.011631,           0.0011734,            0.001189,            0.001189,            0.001189
                  91,            0.022578,            0.022639,           0.0043242,             0.68306,             0.98566,             0.97954,             0.77809,            0.014841,            0.011884,           0.0011509,             0.00109,             0.00109,             0.00109
                  92,            0.022363,            0.022136,           0.0043521,             0.73029,             0.95085,             0.97705,             0.78814,            0.014765,            0.011652,           0.0010981,            0.000991,            0.000991,            0.000991
                  93,            0.022571,            0.023239,           0.0042377,             0.78788,             0.85714,             0.96799,             0.77294,            0.014441,            0.011529,           0.0011204,            0.000892,            0.000892,            0.000892
                  94,             0.02243,            0.022563,           0.0042568,             0.69888,             0.89286,             0.94824,             0.75412,            0.014492,            0.011605,           0.0010733,            0.000793,            0.000793,            0.000793
                  95,            0.021521,            0.021716,           0.0039505,             0.76308,             0.85714,             0.97849,             0.77792,            0.014378,            0.011696,           0.0010197,            0.000694,            0.000694,            0.000694
                  96,             0.02288,            0.022878,           0.0042581,             0.73187,             0.96965,             0.99051,             0.78577,            0.014353,            0.011487,          0.00099316,            0.000595,            0.000595,            0.000595
                  97,            0.022444,            0.022651,           0.0047864,             0.73478,             0.97115,             0.99115,             0.79261,            0.014421,            0.011493,           0.0010099,            0.000496,            0.000496,            0.000496
                  98,            0.021987,            0.022262,           0.0041976,             0.74254,              0.9782,             0.98928,             0.80742,            0.013963,            0.011483,           0.0010224,            0.000397,            0.000397,            0.000397
                  99,            0.021541,            0.022027,           0.0041843,             0.79775,             0.95415,             0.98981,             0.79796,            0.014242,            0.011508,            0.001009,            0.000298,            0.000298,            0.000298
