               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061594,            0.046402,             0.01219,             0.75034,             0.24855,             0.26723,             0.11329,            0.046224,            0.035751,           0.0061437,            0.006535,            0.006535,            0.006535
                  37,            0.060879,            0.043502,            0.012168,             0.59392,             0.34842,             0.26546,             0.11189,            0.046496,            0.042152,           0.0057204,            0.006436,            0.006436,            0.006436
                  38,             0.05968,            0.042973,            0.010985,             0.84731,             0.12208,              0.2153,              0.1018,            0.054797,            0.054556,           0.0071036,            0.006337,            0.006337,            0.006337
                  39,            0.058845,            0.041784,            0.010702,             0.60289,             0.44725,             0.34136,             0.12178,             0.05091,            0.042027,           0.0048576,            0.006238,            0.006238,            0.006238
                  40,            0.059087,            0.040526,             0.01073,             0.72723,             0.36851,             0.32283,             0.13597,            0.046916,            0.049379,           0.0070669,            0.006139,            0.006139,            0.006139
                  41,            0.058168,             0.04268,             0.01096,             0.67069,             0.43476,             0.36237,             0.13345,             0.05422,            0.072758,           0.0044106,             0.00604,             0.00604,             0.00604
                  42,            0.056273,            0.041166,            0.010473,             0.57373,             0.44478,               0.362,             0.15602,            0.054185,             0.05658,            0.003688,            0.005941,            0.005941,            0.005941
                  43,            0.057389,            0.041258,            0.010164,             0.61574,             0.30792,             0.23275,            0.061065,            0.057887,            0.039314,           0.0064057,            0.005842,            0.005842,            0.005842
                  44,            0.055693,            0.041685,           0.0096358,             0.61594,             0.40509,             0.38571,             0.14629,            0.048917,            0.053423,           0.0060242,            0.005743,            0.005743,            0.005743
                  45,            0.054374,            0.039173,           0.0095615,             0.46046,             0.42678,             0.30566,            0.097036,            0.052795,            0.049057,           0.0054945,            0.005644,            0.005644,            0.005644
                  46,            0.054879,            0.038827,            0.009527,             0.70397,             0.39381,             0.31474,             0.14803,            0.043103,            0.067757,           0.0052675,            0.005545,            0.005545,            0.005545
                  47,            0.053262,            0.038612,           0.0086799,             0.66655,             0.41413,             0.33912,             0.11691,            0.042043,            0.075775,            0.004187,            0.005446,            0.005446,            0.005446
                  48,             0.05272,            0.040241,           0.0087221,              0.7299,             0.43164,             0.44309,             0.18347,            0.043613,            0.039984,           0.0050218,            0.005347,            0.005347,            0.005347
                  49,            0.051986,            0.039518,           0.0087991,             0.78959,             0.44488,             0.42819,             0.15885,            0.037305,            0.037527,           0.0058423,            0.005248,            0.005248,            0.005248
                  50,            0.052723,            0.035939,           0.0088849,             0.63241,             0.43565,             0.45438,             0.23474,            0.042792,             0.03108,            0.004912,            0.005149,            0.005149,            0.005149
                  51,            0.051108,            0.038177,           0.0080892,             0.70082,              0.4748,             0.45601,             0.20549,            0.041454,            0.046621,            0.003696,             0.00505,             0.00505,             0.00505
                  52,            0.051355,            0.038499,           0.0073357,             0.64101,             0.47697,             0.45958,             0.24452,            0.037069,            0.028046,           0.0033058,            0.004951,            0.004951,            0.004951
                  53,            0.050805,             0.03759,           0.0082914,             0.66486,             0.45826,             0.48706,             0.25205,            0.035354,            0.030022,           0.0032958,            0.004852,            0.004852,            0.004852
                  54,            0.046911,            0.037224,           0.0079574,             0.66148,             0.48536,             0.47388,             0.24371,            0.036377,            0.029879,           0.0031523,            0.004753,            0.004753,            0.004753
                  55,            0.046507,            0.039236,           0.0072709,             0.59393,             0.44885,             0.44869,             0.21577,            0.037856,            0.029253,           0.0042494,            0.004654,            0.004654,            0.004654
                  56,             0.04963,            0.036936,             0.00806,             0.57031,              0.4371,               0.417,             0.15642,            0.043604,            0.033369,           0.0044567,            0.004555,            0.004555,            0.004555
                  57,            0.048758,             0.03735,           0.0074009,             0.67914,             0.37451,              0.4526,             0.19648,            0.040327,            0.024166,           0.0030798,            0.004456,            0.004456,            0.004456
                  58,            0.046818,            0.034904,           0.0069809,             0.74363,               0.437,             0.50979,             0.22081,            0.039127,            0.023989,           0.0028769,            0.004357,            0.004357,            0.004357
                  59,            0.047214,            0.037362,           0.0070003,             0.73806,             0.49509,             0.51304,             0.27242,            0.035365,             0.02405,           0.0036967,            0.004258,            0.004258,            0.004258
                  60,            0.045974,            0.036332,           0.0061048,             0.78068,             0.49098,             0.54437,             0.30658,            0.037906,            0.022506,           0.0027614,            0.004159,            0.004159,            0.004159
                  61,            0.048523,            0.035667,           0.0092873,             0.71628,             0.52787,              0.5255,             0.28639,            0.034002,            0.022856,           0.0035595,             0.00406,             0.00406,             0.00406
                  62,            0.046888,            0.037045,           0.0087239,             0.80458,             0.49215,             0.49816,             0.24868,            0.040099,            0.020959,           0.0041536,            0.003961,            0.003961,            0.003961
                  63,            0.045265,            0.034343,           0.0069123,             0.77269,             0.47124,             0.51164,             0.22984,            0.034423,            0.019889,           0.0033065,            0.003862,            0.003862,            0.003862
                  64,             0.04563,             0.03574,            0.007094,             0.78121,             0.44886,             0.55656,             0.29776,            0.029383,             0.02257,           0.0026646,            0.003763,            0.003763,            0.003763
                  65,             0.04572,             0.03571,           0.0071435,             0.79174,             0.39455,             0.51976,             0.25603,            0.032122,            0.020389,           0.0025915,            0.003664,            0.003664,            0.003664
                  66,            0.042715,            0.037269,           0.0058341,             0.75735,             0.51641,             0.53774,             0.27064,            0.031497,            0.025871,           0.0041436,            0.003565,            0.003565,            0.003565
                  67,            0.043867,            0.033948,           0.0068448,             0.83878,             0.54688,             0.55782,             0.29236,            0.030171,            0.021358,           0.0034917,            0.003466,            0.003466,            0.003466
                  68,            0.043022,            0.035327,            0.006362,             0.79447,             0.50146,             0.54826,              0.3006,            0.032844,            0.023551,           0.0040752,            0.003367,            0.003367,            0.003367
                  69,            0.044099,            0.035615,           0.0073028,             0.81836,             0.51201,             0.55859,             0.32155,            0.030659,            0.020485,           0.0028429,            0.003268,            0.003268,            0.003268
                  70,            0.041067,            0.033013,              0.0059,              0.7998,             0.53141,             0.55885,             0.34109,            0.030396,            0.019935,           0.0024026,            0.003169,            0.003169,            0.003169
                  71,             0.04219,            0.033357,           0.0066635,             0.84114,             0.56736,             0.57008,             0.34756,            0.028906,            0.020264,           0.0024817,             0.00307,             0.00307,             0.00307
                  72,            0.042246,            0.033196,            0.006694,             0.84279,             0.56309,             0.58455,             0.36448,            0.027783,            0.018839,           0.0021205,            0.002971,            0.002971,            0.002971
                  73,            0.040813,            0.034321,           0.0064913,             0.86871,             0.57106,             0.58798,             0.39159,            0.027237,            0.018748,           0.0021883,            0.002872,            0.002872,            0.002872
                  74,            0.041777,            0.035083,            0.006405,             0.86473,             0.57197,             0.58972,             0.38176,            0.027805,            0.018872,           0.0022781,            0.002773,            0.002773,            0.002773
                  75,              0.0403,            0.033696,           0.0060046,             0.81642,             0.56965,             0.57084,             0.36229,            0.030639,            0.020775,           0.0033686,            0.002674,            0.002674,            0.002674
                  76,            0.039996,            0.033308,           0.0064361,             0.81798,             0.58192,              0.6044,             0.36867,            0.026804,            0.018177,           0.0020356,            0.002575,            0.002575,            0.002575
                  77,            0.037793,            0.034635,           0.0056495,             0.84857,             0.57627,             0.59267,             0.33509,            0.026837,             0.01878,           0.0021019,            0.002476,            0.002476,            0.002476
                  78,            0.039241,            0.032735,           0.0053387,             0.85997,             0.57833,             0.60095,             0.38152,            0.026069,            0.018184,           0.0020484,            0.002377,            0.002377,            0.002377
                  79,            0.039458,            0.034699,           0.0055285,             0.85192,             0.56395,             0.57826,             0.30442,            0.029079,            0.019282,           0.0025481,            0.002278,            0.002278,            0.002278
                  80,            0.039984,            0.032863,           0.0057757,             0.82189,             0.56509,             0.59062,              0.3753,            0.028007,            0.017501,           0.0023218,            0.002179,            0.002179,            0.002179
                  81,            0.038037,            0.035195,           0.0059176,             0.87495,             0.57717,             0.60402,             0.38236,            0.024122,            0.017602,           0.0020137,             0.00208,             0.00208,             0.00208
                  82,            0.037803,            0.033027,           0.0055498,             0.86146,             0.57558,             0.64479,              0.3641,            0.025591,            0.017658,           0.0019605,            0.001981,            0.001981,            0.001981
                  83,            0.038339,            0.032837,           0.0058374,             0.84731,             0.57874,             0.59697,             0.39602,            0.024587,            0.017711,           0.0022207,            0.001882,            0.001882,            0.001882
                  84,            0.036838,            0.034561,           0.0049728,             0.84431,             0.59787,             0.64644,             0.38555,            0.024434,            0.017238,           0.0018821,            0.001783,            0.001783,            0.001783
                  85,            0.037638,            0.032049,           0.0053912,             0.84153,             0.61524,             0.63393,             0.40227,            0.024269,             0.01735,           0.0018962,            0.001684,            0.001684,            0.001684
                  86,            0.038536,            0.032033,           0.0067039,             0.88277,             0.58431,             0.60693,             0.40849,            0.023098,            0.017042,           0.0019635,            0.001585,            0.001585,            0.001585
                  87,            0.036408,            0.032231,           0.0051412,             0.86182,             0.56863,             0.60386,             0.40021,            0.023423,            0.018643,           0.0020434,            0.001486,            0.001486,            0.001486
                  88,            0.036934,            0.030181,           0.0057389,             0.87888,             0.58775,             0.65153,              0.4279,            0.022201,             0.01686,            0.001861,            0.001387,            0.001387,            0.001387
                  89,            0.037012,            0.034347,           0.0060012,             0.85761,             0.58566,             0.61497,             0.41002,            0.023322,            0.016782,           0.0018387,            0.001288,            0.001288,            0.001288
                  90,             0.03573,            0.033369,            0.005805,             0.88414,             0.61075,             0.66835,             0.42744,            0.022721,            0.016743,           0.0018582,            0.001189,            0.001189,            0.001189
                  91,            0.035692,            0.032107,             0.00546,             0.84708,             0.59052,             0.65536,             0.44019,            0.021653,            0.016752,            0.001863,             0.00109,             0.00109,             0.00109
                  92,            0.036712,            0.032034,            0.005868,             0.79996,              0.5824,             0.65677,             0.43095,            0.024931,            0.021661,           0.0026099,            0.000991,            0.000991,            0.000991
                  93,             0.03579,            0.031842,            0.005936,             0.85165,             0.59774,             0.62983,             0.42233,            0.022711,            0.017739,           0.0020621,            0.000892,            0.000892,            0.000892
                  94,            0.035323,            0.032104,           0.0046208,             0.87417,             0.62097,             0.71227,             0.45292,             0.02206,            0.016732,           0.0017572,            0.000793,            0.000793,            0.000793
                  95,            0.033976,            0.033217,           0.0054953,             0.84802,             0.59764,             0.63884,              0.4169,            0.022559,             0.01702,            0.001704,            0.000694,            0.000694,            0.000694
                  96,            0.034777,            0.032401,           0.0054804,             0.86229,             0.55792,             0.64559,             0.43759,            0.021454,            0.016805,           0.0017415,            0.000595,            0.000595,            0.000595
                  97,            0.034879,            0.032324,           0.0056957,             0.86871,             0.57235,             0.64383,             0.42077,            0.021454,            0.016683,           0.0017158,            0.000496,            0.000496,            0.000496
                  98,             0.03421,             0.03011,           0.0052538,              0.8824,             0.56956,             0.66304,              0.4293,            0.021685,            0.016558,            0.001707,            0.000397,            0.000397,            0.000397
                  99,            0.034831,            0.032377,           0.0054505,              0.8752,             0.60572,             0.64636,             0.43198,            0.021558,            0.016666,           0.0016973,            0.000298,            0.000298,            0.000298
